timestamp,speed_input,speed_output,filesize_input,filesize_output
647,50.1 rd,48.2 wr,"in(64.8, 125.0)",out(182.5)
648,50.3 rd,49.1 wr,"in(64.8, 125.5)",out(185.7)
649,49.7 rd,48.2 wr,"in(64.8, 123.3)",out(182.6)
650,50.2 rd,49.1 wr,"in(64.8, 125.4)",out(185.8)
651,53.5 rd,51.2 wr,"in(64.8, 126.5)",out(182.8)
654,53.1 rd,51.5 wr,"in(64.8, 125.8)",out(184.5)
655,53.0 rd,51.9 wr,"in(64.8, 125.8)",out(186.7)
656,55.7 rd,53.1 wr,"in(64.8, 127.1)",out(183.1)
657,56.2 rd,54.6 wr,"in(77.9, 125.8)",out(197.9)
658,55.0 rd,52.8 wr,"in(64.8, 129.5)",out(186.6)
659,58.2 rd,55.5 wr,"in(64.8, 129.5)",out(185.2)
660,56.2 rd,53.9 wr,"in(64.8, 129.5)",out(186.3)
661,58.2 rd,55.7 wr,"in(64.8, 129.5)",out(185.9)
662,54.3 rd,51.9 wr,"in(64.8, 128.2)",out(184.6)
663,53.9 rd,51.4 wr,"in(64.8, 127.3)",out(183.0)
664,97.1 rd,96.3 wr,"in(696.3, 230.3)",out(918.6)
667,70.6 rd,68.0 wr,"in(64.8, 119.8)",out(177.7)
668,70.5 rd,67.6 wr,"in(64.8, 117.9)",out(175.1)
669,102.6 rd,102.1 wr,"in(0.0, 269.0)",out(267.8)
670,74.4 rd,71.2 wr,"in(64.8, 129.5)",out(186.0)
671,69.9 rd,66.7 wr,"in(64.8, 118.1)",out(174.5)
672,112.5 rd,109.2 wr,"in(64.8, 129.5)",out(188.7)
675,261.2 rd,260.4 wr,"in(64.8, 64.8)",out(129.1)
676,281.6 rd,276.9 wr,"in(64.8, 114.2)",out(176.0)
678,266.5 rd,262.7 wr,"in(48.9, 96.8)",out(143.7)
679,261.3 rd,258.3 wr,"in(64.8, 135.7)",out(198.1)
681,290.5 rd,285.7 wr,"in(64.8, 185.5)",out(246.2)
682,259.4 rd,256.3 wr,"in(64.8, 194.3)",out(256.0)
684,78.8 rd,75.9 wr,"in(64.8, 129.5)",out(187.1)
686,78.8 rd,76.4 wr,"in(64.8, 129.5)",out(188.3)
687,73.9 rd,71.2 wr,"in(64.8, 118.2)",out(176.1)
688,75.5 rd,72.1 wr,"in(64.8, 122.0)",out(178.5)
689,62.9 rd,59.9 wr,"in(64.8, 129.5)",out(184.9)
690,62.9 rd,60.9 wr,"in(64.8, 129.5)",out(187.9)
691,62.9 rd,60.6 wr,"in(64.8, 129.5)",out(187.1)
692,66.6 rd,64.1 wr,"in(64.8, 144.7)",out(201.6)
693,249.4 rd,248.5 wr,"in(0.0, 215.2)",out(214.4)
697,172.3 rd,170.5 wr,"in(590.6, 545.8)",out(1124.9)
700,252.7 rd,249.1 wr,"in(64.8, 90.5)",out(153.1)
702,287.2 rd,284.9 wr,"in(64.8, 111.3)",out(174.7)
703,279.9 rd,275.3 wr,"in(64.8, 129.5)",out(191.2)
705,284.4 rd,279.8 wr,"in(64.8, 129.5)",out(191.1)
707,280.4 rd,276.1 wr,"in(64.8, 129.5)",out(191.3)
708,278.4 rd,276.3 wr,"in(64.8, 129.5)",out(192.8)
710,290.0 rd,285.1 wr,"in(64.8, 145.0)",out(206.3)
711,249.0 rd,245.0 wr,"in(50.5, 129.5)",out(177.1)
713,177.4 rd,175.5 wr,"in(64.8, 194.3)",out(256.3)
715,156.3 rd,155.3 wr,"in(0.0, 376.6)",out(374.2)
716,86.8 rd,85.6 wr,"in(64.8, 194.3)",out(255.5)
717,86.8 rd,85.6 wr,"in(64.8, 194.3)",out(255.5)
718,86.8 rd,85.8 wr,"in(64.8, 194.3)",out(255.9)
719,94.1 rd,93.2 wr,"in(64.8, 225.8)",out(287.9)
720,113.0 rd,112.3 wr,"in(64.8, 323.2)",out(385.5)
725,268.2 rd,265.9 wr,"in(696.2, 232.3)",out(920.7)
729,284.4 rd,280.5 wr,"in(64.8, 129.5)",out(191.6)
731,266.1 rd,262.3 wr,"in(64.8, 153.2)",out(214.8)
733,279.5 rd,273.8 wr,"in(64.8, 176.9)",out(236.8)
734,280.2 rd,275.9 wr,"in(64.8, 211.4)",out(271.8)
736,276.9 rd,272.9 wr,"in(64.8, 252.5)",out(312.7)
738,131.5 rd,129.8 wr,"in(64.8, 256.0)",out(316.8)
740,142.5 rd,141.5 wr,"in(0.0, 430.5)",out(427.3)
741,88.4 rd,87.4 wr,"in(49.1, 282.5)",out(328.1)
742,91.6 rd,90.6 wr,"in(64.8, 303.1)",out(364.0)
743,94.3 rd,93.3 wr,"in(64.8, 325.0)",out(385.4)
744,101.0 rd,100.0 wr,"in(64.7, 385.4)",out(445.7)
745,86.1 rd,85.4 wr,"in(64.8, 320.6)",out(382.0)
749,275.9 rd,274.1 wr,"in(588.7, 223.8)",out(807.0)
752,264.9 rd,262.6 wr,"in(64.8, 194.3)",out(256.9)
754,272.9 rd,268.3 wr,"in(64.8, 229.2)",out(289.0)
756,262.2 rd,257.8 wr,"in(64.8, 235.2)",out(294.9)
758,280.5 rd,276.4 wr,"in(64.8, 289.0)",out(348.6)
760,296.1 rd,291.5 wr,"in(64.8, 299.3)",out(358.4)
762,59.5 rd,56.0 wr,"in(64.8, 64.8)",out(122.0)
764,58.2 rd,54.4 wr,"in(64.8, 61.9)",out(118.4)
765,59.5 rd,56.6 wr,"in(64.8, 64.8)",out(123.2)
766,59.5 rd,56.8 wr,"in(64.8, 64.8)",out(123.8)
767,66.1 rd,62.9 wr,"in(64.8, 109.3)",out(165.7)
768,54.0 rd,52.0 wr,"in(64.8, 118.8)",out(176.7)
769,125.0 rd,124.1 wr,"in(0.0, 430.5)",out(427.3)
